Alpha , T_Ratio,Alpha ,Sigma1
0,6.225863854,0.095222847,1.875617593
0.087185076,6.250552247,0.189295287,1.877025684
0.063643681,6.225863854,0.275528357,1.879607183
0.181350656,6.225863854,0.275528357,1.877495047
0.181350656,6.188831263,0.346082687,1.879607183
0.275516237,6.176487066,0.659657487,1.89368809
0.275516237,6.139454476,0.628300007,1.891575954
0.369681817,6.127110279,0.753729927,1.897912362
0.369681817,6.077733491,0.722372447,1.89509618
0.440306003,6.090077688,0.722372447,1.892984044
0.463847398,6.040700901,0.839962997,1.902136634
0.463847398,5.997496212,0.839962997,1.899672475
0.534471583,6.016012507,0.816444887,1.897208316
0.558012978,5.966635719,1.130019687,1.91621754
0.558012978,5.92343103,1.098662207,1.914105404
0.605095768,5.874054243,1.224092127,1.920441812
0.652178558,5.904914735,1.192734647,1.917625631
0.652178558,5.837021652,1.192734647,1.915513495
0.699261349,5.793816963,1.310325197,1.924666084
0.722802744,5.843193751,1.310325197,1.922201926
0.746344139,5.744440176,1.286807087,1.919737767
0.769885534,5.793816963,1.380879528,1.924666084
0.793426929,5.695063388,1.694454328,1.937573582
0.816968324,5.744440176,1.788526768,1.940155082
0.840509719,5.645686601,1.757169288,1.9373389
0.864051114,5.695063388,1.882599208,1.941797854
0.887592509,5.602481912,1.851241728,1.939451036
0.911133905,5.645686601,1.976671648,1.943205945
0.9346753,5.553105124,2.039386608,1.943675308
0.958216695,5.596309813,2.580303138,1.942971263
0.98175809,5.497556239,2.674375578,1.943675308
1.005299485,5.546933026,2.674375578,1.941563172
1.02884088,5.448179451,2.768448018,1.942267218
1.052382275,5.497556239,2.768448018,1.940155082
1.07592367,5.398802664,2.862520458,1.940859127
1.099465065,5.448179451,2.839002348,1.939451036
1.123006461,5.349425876,3.238810218,1.930298447
1.146547856,5.398802664,3.285846438,1.927834288
1.170089251,5.300049089,3.332882659,1.929594402
1.193630646,5.349425876,3.387758249,1.926074175
1.225019173,5.250672301,3.450473209,1.926074175
1.264254831,5.182779218,3.473991319,1.923257994
1.287796226,5.225983907,3.521027539,1.92149788
1.311337621,5.133402431,3.850281079,1.910585178
1.334879016,5.17660712,3.850281079,1.908121019
1.358420412,5.084025643,3.944353519,1.908473042
1.381961807,5.127230333,3.944353519,1.90565686
1.405503202,5.034648856,4.014907849,1.906360906
1.429044597,5.077853545,4.038425959,1.903544724
1.452585992,4.985272069,4.038425959,1.901080566
1.476127387,5.028476758,4.108980289,1.902136634
1.499668782,4.935895281,4.108980289,1.900024498
1.546751572,4.966755773,4.414715719,1.888055727
1.546751572,4.89886269,4.461751939,1.885591568
1.593834363,4.855658001,4.485270049,1.888055727
1.617375758,4.905034789,4.555824379,1.884535501
1.640917153,4.812453312,4.555824379,1.881719319
1.664458548,4.855658001,4.626378709,1.882423365
1.687999943,4.763076525,4.649896819,1.879607183
1.711541338,4.806281214,4.979150359,1.866934367
1.735082733,4.713699737,5.034025949,1.864118186
1.782165523,4.74456023,5.096740909,1.864118186
1.829248314,4.682839245,5.120259019,1.861302005
1.829248314,4.639634556,5.175134609,1.858955187
1.899872499,4.658150852,5.237849569,1.858485823
1.923413894,4.608774064,5.543585,1.845813007
1.923413894,4.565569375,5.59846059,1.842996826
1.994038079,4.58408567,5.68469366,1.842292781
2.017579474,4.534708883,5.68469366,1.839476599
2.072509396,4.485332095,5.75524799,1.840180645
2.13528645,4.485332095,5.7787661,1.837364463
2.158827845,4.435955308,5.80228421,1.835252327
2.213757767,4.386578521,6.15505586,1.824691647
2.276534821,4.386578521,6.20993145,1.82234483
2.300076216,4.337201733,6.29616452,1.821171421
2.355006138,4.29605441,6.27264641,1.81976333
2.441324586,4.275480749,6.35104011,1.817885876
2.441324586,4.238448158,6.43727318,1.817299171
2.535490167,4.226103961,6.41375507,1.815539058
2.511948772,4.201415568,6.77436609,1.805447742
2.590420089,4.168497709,6.86059916,1.804274333
2.676738537,4.15203878,6.86059916,1.802162197
2.676738537,4.115006189,6.9546716,1.801458151
2.770904118,4.102661993,6.9546716,1.799346015
2.770904118,4.065629402,7.04874404,1.79864197
2.865069698,4.065629402,7.02522593,1.797233879
2.865069698,4.022424713,7.472070021,1.787377245
2.959235279,4.028596811,7.472070021,1.785265109
2.959235279,3.991564221,7.566142461,1.785969154
3.053400859,3.991564221,7.566142461,1.783152973
3.053400859,3.948359532,7.660214901,1.783152973
3.147566439,3.95453163,7.660214901,1.781040837
3.147566439,3.91749904,7.754287341,1.780336791
3.24173202,3.91749904,7.730769231,1.778928701
3.24173202,3.880466449,8.177613321,1.769776111
3.3358976,3.880466449,8.232488911,1.767429294
3.312356205,3.855778055,8.318721981,1.767663975
3.430063181,3.855778055,8.318721981,1.765551839
3.430063181,3.818745465,8.412794421,1.765551839
3.524228761,3.831089662,8.412794421,1.763439703
3.524228761,3.794057071,8.483348751,1.764143749
3.618394342,3.806401268,8.483348751,1.762031613
3.618394342,3.769368677,8.930192841,1.754287114
3.712559922,3.769368677,8.985068431,1.751940296
3.759642712,3.732336087,9.071301501,1.752174978
3.806725502,3.75702448,9.071301501,1.750062842
3.853808293,3.707647693,9.165373942,1.750062842
3.900891083,3.732336087,9.212410162,1.748302729
3.947973873,3.682959299,9.282964492,1.747950706
3.995056663,3.707647693,9.682772362,1.740206208
4.089222244,3.682959299,9.729808582,1.738094072
4.065680848,3.658270905,9.776844802,1.739502162
4.183387824,3.670615102,9.823881022,1.736685981
4.183387824,3.633582512,9.870917242,1.738094072
4.277553404,3.645926708,9.917953462,1.73527789
4.324636195,3.608894118,9.964989682,1.736685981
4.371718985,3.633582512,10.0120259,1.734221822
4.465884565,3.621238315,10.4823881,1.727533392
4.465884565,3.584205724,10.57646054,1.726829346
4.560050146,3.596549921,10.55294243,1.725421256
4.607132936,3.55951733,10.67053298,1.725421256
4.654215726,3.584205724,10.64701487,1.724013165
4.748381306,3.571861527,10.76460542,1.724013165
4.748381306,3.534828937,10.74108731,1.722605074
4.842546887,3.547173134,10.85867786,1.722957097
4.936712467,3.547173134,10.83515975,1.721196984
4.936712467,3.510140543,11.32904006,1.716268666
5.030878048,3.52248474,11.37607628,1.71415653
5.125043628,3.52248474,11.4231125,1.715564621
5.125043628,3.485452149,11.51718494,1.714860576
5.219209209,3.497796346,11.51718494,1.71274844
5.313374789,3.497796346,11.61125738,1.713452485
5.360457579,3.460763755,11.6582936,1.711692372
5.407540369,3.485452149,11.72884793,1.712044394
5.50170595,3.473107952,12.17569202,1.706412032
5.54878874,3.436075362,12.22272824,1.704299896
5.59587153,3.473107952,12.26976446,1.705707986
5.64295432,3.44224746,12.3638369,1.705003941
5.737119901,3.448419559,12.3638369,1.702891805
5.784202691,3.411386968,12.45790934,1.70359585
5.831285481,3.448419559,12.50494556,1.701835737
5.878368271,3.417559066,12.57549989,1.70218776
5.972533852,3.423731165,13.02234398,1.697963488
6.019616642,3.386698574,13.0693802,1.695851352
6.066699432,3.423731165,13.11641642,1.697259442
6.113782223,3.392870673,13.21048886,1.696555397
6.207947803,3.399042771,13.21048886,1.694443261
6.302113383,3.399042771,13.3045613,1.695147306
6.349196174,3.362010181,13.35159752,1.69303517
6.396278964,3.399042771,13.39863374,1.694443261
6.443361754,3.368182279,13.91603216,1.689514944
6.537527334,3.374354377,13.96306838,1.687402808
6.631692915,3.374354377,14.0101046,1.688810898
6.631692915,3.337321787,14.10417704,1.688106853
6.725858495,3.362010181,14.15121326,1.685994717
6.7023171,3.337321787,14.19824948,1.687402808
6.820024076,3.349665984,14.29232192,1.686698762
6.914189656,3.349665984,14.76268412,1.68247449
6.961272446,3.312633393,14.85675656,1.68247449
7.008355236,3.349665984,14.85675656,1.680362354
7.055438027,3.312633393,14.950829,1.6810664
7.102520817,3.337321787,15.04490144,1.6810664
7.196686397,3.32497759,15.04490144,1.678954264
7.290851978,3.32497759,15.13897388,1.679658309
7.385017558,3.32497759,15.66421167,1.675903401
7.385017558,3.287944999,15.75044474,1.675434037
7.479183139,3.32497759,15.84451718,1.675434037
7.573348719,3.300289196,15.84451718,1.673321901
7.667514299,3.300289196,15.93858962,1.674025946
7.76167988,3.300289196,16.03266207,1.674025946
7.80876267,3.263256606,16.55006049,1.669801674
7.85584546,3.300289196,16.64413293,1.669801674
7.90292825,3.263256606,16.73820537,1.669801674
7.950011041,3.287944999,16.73820537,1.667689538
8.044176621,3.275600802,16.83227781,1.668393584
8.138342201,3.275600802,16.92635025,1.668393584
