ID,Name,Usage,Assigned Buildings,Total Population,Estimated No. Of Buildings,,
1,Jabal Ali Third,Residential,C1-C2,1513,151,,
2,Nadd Shamma,Residential,C1-C2,3124,312,,
3,Al Muteena,Commercial,C4-C5-C6,46185,272,,
4,Bu Kadra,Residential,C1-C2,16,2,,
5,EnKhali,Commercial,C4-C5-C6,26,0,,
6,Warsan third,Residential,C1-C2,13579,1358,,
7,Ras Al Khor Ind. First,Residential,C1-C2,2550,255,,
8,Grayteesah,Commercial,C4-C5-C6,55,0,,
9,Hor Al Anz East,Commercial,C4-C5-C6,21218,125,,
10,Um Al Sheif,Residential,C1-C2,4367,437,,
11,Muhaisneh 2nd,Commercial,C4-C5-C6,196316,1158,,
12,Al yalayis 3,Commercial,C4-C5-C6,4,0,,
13,Warsan first,Commercial,C4-C5-C6,106072,625,,
14,Margham,Residential,C1-C2,1005,101,,
15,Saih Shuaib 3,Industrial,Steel Warehouses,11144,0,,
16,Al Qusais First,Commercial,C4-C5-C6,45657,269,,
17,Al Meryal,Residential,C1-C2,754,75,,
18,Remah,Commercial,C4-C5-C6,232,1,,
19,Al Kifaf,Commercial,C4-C5-C6,2,0,,
20,Saih Al Salam,Industrial,Steel Warehouses,607,0,,
21,Ayal Nasir,Commercial,C4-C5-C6,19280,114,,
22,Oud Al Muteena Third,Commercial,C4-C5-C6,6679,39,,
23,Al Warqaa Second,Residential,C1-C2,10689,1069,,
24,Al Rega,Commercial,C4-C5-C6,10480,62,,
25,Umm Eselay,Commercial,C4-C5-C6,204,1,,
26,Al Satwa,Commercial,C4-C5-C6,38991,230,,
27,Al Hathmah,Commercial,C4-C5-C6,35,0,,
28,Al Murar,Commercial,C4-C5-C6,38970,230,,
29,Al Murqabat,Commercial,C4-C5-C6,69771,411,,
30,Al Qusais IND. First,Industrial,Steel Warehouses,9369,0,,
31,Al Barsha First,Commercial,C4-C5-C6,39451,233,,
32,Port Saeed,Commercial,C4-C5-C6,13551,80,,
33,Naif,Commercial,C4-C5-C6,50090,295,,
34,Al Rowaiyah first,Residential,C1-C2,3127,313,,
35,Al Suq Al Kabeer,Commercial,C4-C5-C6,51012,301,,
36,Muhaisneh 5th,Industrial,Steel Warehouses,2,0,,
37,Al Mezhar First,Residential,C1-C2,16552,1655,,
38,Al Hamriya Port,Industrial,Steel Warehouses,36738,0,,
39,Al Yufrah 2,Residential,C1-C2,58,6,,
40,Nad Al Shibba Third,Commercial,C4-C5-C6,767,5,,
41,Wadi AlShabak,Industrial,Steel Warehouses,55,0,,
42,Al Qouze IND. Third,Industrial,Steel Warehouses,26656,0,,
43,Lehbab First,Residential,C1-C2,3197,320,,
44,Wadi Al Safa 5,Residential,C1-C2,21241,2124,,
45,Al Shandaga,Residential,C1-C2,2,0,,
46,Al Hamriya,Commercial,C4-C5-C6,36738,217,,
47,Oud al Muteena First,Commercial,C4-C5-C6,14672,87,,
48,Al Saffa First,Residential,C1-C2,8514,851,,
49,Saih Al Dahal,Industrial,Steel Warehouses,16,0,,
50,Al Layan 2,Commercial,C4-C5-C6,0,0,,
51,Al Buteen,Commercial,C4-C5-C6,2841,17,,
52,Nadd Hessa,Industrial,Steel Warehouses,38494,0,,
53,Al Barsha Second,Residential,C1-C2,15523,1552,,
54,Jabal Ali IND. First,Industrial,Steel Warehouses,128975,0,,
55,Al Raffa,Commercial,C4-C5-C6,47140,278,,
56,Al Qusais IND. Fifth,Industrial,Steel Warehouses,1613,0,,
57,Mereiyeel,Commercial,C4-C5-C6,1119,7,,
58,Al Hebiah Third,Residential,C1-C2,6845,685,,
59,Um Hurair First,Residential,C1-C2,5856,586,,
60,Mirdif,Residential,C1-C2,64355,6436,,
61,Al Safouh Second ,Commercial,C4-C5-C6,6126,36,,
62,Marsa Dubai,Commercial,C4-C5-C6,61047,360,,
63,Al Qouze IND. Second,Industrial,Steel Warehouses,159978,0,,
64,Al wasl,Residential,C1-C2,11555,1156,,
